01:40.786	ID:1	Broadcast message sent 10
01:40.794	ID:3	Broadcast recv from 1 of 1 with id 10
01:40.794	ID:4	Broadcast recv from 1 of 1 with id 10
01:40.794	ID:5	Broadcast recv from 1 of 1 with id 10
01:40.794	ID:6	Broadcast recv from 1 of 1 with id 10
01:40.794	ID:2	Broadcast recv from 1 of 1 with id 10
01:40.797	ID:3	Broadcast message sent
01:40.797	ID:5	Broadcast message sent
01:40.797	ID:6	Broadcast message sent
01:40.797	ID:4	Broadcast message sent
01:40.797	ID:2	Broadcast message sent
01:50.784	ID:1	Send me a message
01:50.795	ID:6	Broadcast message sent 11
01:50.803	ID:1	Broadcast recv from 6 of 6 with id 11
01:50.803	ID:4	Broadcast recv from 6 of 6 with id 11
01:50.803	ID:2	Broadcast recv from 6 of 6 with id 11
01:50.803	ID:3	Broadcast recv from 6 of 6 with id 11
01:50.803	ID:5	Broadcast recv from 6 of 6 with id 11
01:50.806	ID:2	Broadcast message sent
01:50.806	ID:1	Broadcast message sent
01:50.806	ID:4	Broadcast message sent
01:50.806	ID:3	Broadcast message sent
01:50.806	ID:5	Broadcast message sent
01:50.811	ID:1	Send me a message
01:50.819	ID:4	Broadcast recv from 1 of 6 with id 11
01:50.819	ID:5	Broadcast recv from 1 of 6 with id 11
01:50.819	ID:2	Broadcast recv from 1 of 6 with id 11
01:50.819	ID:6	Broadcast recv from 1 of 6 with id 11
01:50.819	ID:3	Broadcast recv from 1 of 6 with id 11
01:50.821	ID:5	Broadcast message sent
01:50.822	ID:4	Broadcast message sent
01:50.822	ID:2	Broadcast message sent
01:50.822	ID:3	Broadcast message sent
02:00.808	ID:1	Send me a message
02:00.817	ID:1	Broadcast message sent 12
02:00.826	ID:3	Broadcast recv from 1 of 1 with id 12
02:00.826	ID:4	Broadcast recv from 1 of 1 with id 12
02:00.826	ID:5	Broadcast recv from 1 of 1 with id 12
02:00.826	ID:6	Broadcast recv from 1 of 1 with id 12
02:00.826	ID:2	Broadcast recv from 1 of 1 with id 12
02:00.828	ID:3	Broadcast message sent
02:00.828	ID:5	Broadcast message sent
02:00.828	ID:6	Broadcast message sent
02:00.828	ID:4	Broadcast message sent
02:00.828	ID:2	Broadcast message sent
02:10.816	ID:1	Send me a message
02:10.831	ID:9	Broadcast message sent 13
02:10.839	ID:7	Broadcast recv from 9 of 9 with id 13
02:10.839	ID:8	Broadcast recv from 9 of 9 with id 13
02:10.839	ID:10	Broadcast recv from 9 of 9 with id 13
02:10.839	ID:11	Broadcast recv from 9 of 9 with id 13
02:10.839	ID:12	Broadcast recv from 9 of 9 with id 13
02:10.841	ID:8	Broadcast message sent
02:10.841	ID:7	Broadcast message sent
02:10.841	ID:11	Broadcast message sent
02:10.842	ID:12	Broadcast message sent
02:10.842	ID:10	Broadcast message sent
02:20.816	ID:1	Send me a message
02:20.826	ID:12	Broadcast message sent 14
02:20.835	ID:9	Broadcast recv from 12 of 12 with id 14
02:20.835	ID:8	Broadcast recv from 12 of 12 with id 14
02:20.835	ID:10	Broadcast recv from 12 of 12 with id 14
02:20.835	ID:11	Broadcast recv from 12 of 12 with id 14
02:20.835	ID:13	Broadcast recv from 12 of 12 with id 14
02:20.835	ID:7	Broadcast recv from 12 of 12 with id 14
02:20.837	ID:8	Broadcast message sent
02:20.837	ID:10	Broadcast message sent
02:20.837	ID:9	Broadcast message sent
02:20.837	ID:11	Broadcast message sent
02:20.837	ID:13	Broadcast message sent
02:20.837	ID:7	Broadcast message sent
02:20.845	ID:5	Broadcast recv from 13 of 12 with id 14
02:20.848	ID:5	Broadcast message sent
02:20.856	ID:1	Broadcast recv from 5 of 12 with id 14
02:20.856	ID:4	Broadcast recv from 5 of 12 with id 14
02:20.856	ID:13	Broadcast recv from 5 of 12 with id 14
02:20.856	ID:3	Broadcast recv from 5 of 12 with id 14
02:20.856	ID:6	Broadcast recv from 5 of 12 with id 14
02:20.856	ID:2	Broadcast recv from 5 of 12 with id 14
02:20.858	ID:4	Broadcast message sent
02:20.858	ID:1	Broadcast message sent
02:20.858	ID:3	Broadcast message sent
02:20.858	ID:6	Broadcast message sent
02:20.858	ID:2	Broadcast message sent
02:20.863	ID:1	Send me a message
02:30.863	ID:1	Send me a message
02:30.880	ID:1	Broadcast message sent 15
02:30.888	ID:3	Broadcast recv from 1 of 1 with id 15
02:30.888	ID:4	Broadcast recv from 1 of 1 with id 15
02:30.888	ID:5	Broadcast recv from 1 of 1 with id 15
02:30.888	ID:6	Broadcast recv from 1 of 1 with id 15
02:30.888	ID:2	Broadcast recv from 1 of 1 with id 15
02:30.890	ID:3	Broadcast message sent
02:30.890	ID:5	Broadcast message sent
02:30.890	ID:6	Broadcast message sent
02:30.890	ID:4	Broadcast message sent
02:30.891	ID:2	Broadcast message sent
02:40.878	ID:1	Send me a message
02:40.896	ID:1	Broadcast message sent 16
